(-12, -2) 1 0.73289 0.719841 0.715562 0.713436 0.712164 0.711318 0.710714 0.710262 0.709911 0.70963 0.7094 0.709208 0.709046 0.708908 0.708787 0.708682 0.708589 0.708507 0.708433 0.708367 0.708307 0.708252 0.708202 0.708156 0.708114 0.708076 0.70804 0.708006 0.707975 
(-12, -1) 1 0.733162 0.719973 0.71565 0.713501 0.712216 0.711361 0.710752 0.710295 0.709939 0.709656 0.709423 0.70923 0.709066 0.708926 0.708805 0.708698 0.708605 0.708521 0.708447 0.70838 0.708319 0.708264 0.708213 0.708167 0.708125 0.708086 0.708049 0.708016 0.707984 
(-12, 0) 1 0.733255 0.720018 0.71568 0.713524 0.712234 0.711376 0.710764 0.710306 0.709949 0.709664 0.709431 0.709237 0.709073 0.708932 0.708811 0.708704 0.70861 0.708526 0.708451 0.708384 0.708323 0.708268 0.708217 0.708171 0.708128 0.708089 0.708053 0.708019 0.707987 
(-12, 1) 1 0.733162 0.719973 0.71565 0.713501 0.712216 0.711361 0.710752 0.710295 0.709939 0.709656 0.709423 0.70923 0.709066 0.708926 0.708805 0.708698 0.708605 0.708521 0.708447 0.70838 0.708319 0.708264 0.708213 0.708167 0.708125 0.708086 0.708049 0.708016 0.707984 
(-12, 2) 1 0.73289 0.719841 0.715562 0.713436 0.712164 0.711318 0.710714 0.710262 0.709911 0.70963 0.7094 0.709208 0.709046 0.708908 0.708787 0.708682 0.708589 0.708507 0.708433 0.708367 0.708307 0.708252 0.708202 0.708156 0.708114 0.708076 0.70804 0.708006 0.707975 
(-12, 3) 1 0.732455 0.719628 0.715422 0.713331 0.71208 0.711248 0.710655 0.71021 0.709864 0.709588 0.709362 0.709174 0.709014 0.708878 0.70876 0.708656 0.708565 0.708484 0.708411 0.708346 0.708287 0.708233 0.708184 0.708139 0.708098 0.70806 0.708024 0.707992 0.707961 
(-12, 4) 1 0.731881 0.719348 0.715237 0.713193 0.71197 0.711156 0.710576 0.710141 0.709803 0.709533 0.709312 0.709128 0.708972 0.708839 0.708723 0.708622 0.708533 0.708453 0.708382 0.708318 0.708261 0.708208 0.70816 0.708116 0.708076 0.708039 0.708004 0.707972 0.707942 
(-12, 5) 1 0.731196 0.719014 0.715015 -0.713027 0.711838 -0.711047 0.710482 0.710059 0.70973 0.709467 0.709252 0.709073 0.708922 0.708792 0.708679 0.708581 0.708494 0.708417 0.708348 0.708286 0.70823 0.708178 0.708132 0.708089 0.70805 0.708013 0.70798 0.707949 0.70792 
(-12, 6) 1 0.730431 0.71864 0.714768 0.712843 0.711691 0.710924 0.710377 0.709967 -0.709649 0.709394 0.709185 0.709012 0.708865 0.708739 0.70863 0.708535 0.708451 0.708376 0.708309 0.708249 -0.708195 0.708145 0.7081 0.708059 0.70802 0.707985 -0.707953 0.707922 0.707894 
(-12, 7) 1 0.729615 0.718241 0.714504 0.712645 0.711533 0.710793 0.710265 0.709869 0.709561 -0.709315 0.709114 0.708947 0.708805 0.708683 0.708578 0.708486 0.708405 0.708333 0.708268 0.70821 0.708157 0.70811 0.708066 0.708026 0.707989 0.707955 -0.707924 -0.707894 0.707867 
